Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes, profit , loss
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-30,17:46:07,DeltaExchange,BTCUSDT,,,76182.94,,,,BLOCKED,BLOCKED,"Failed: RSI oversold"
2026-04-30,17:47:25,DeltaExchange,BTCUSDT,,,76231.11,,,,BLOCKED,BLOCKED,"Failed: RSI oversold"
2026-04-30,17:47:50,DeltaExchange,BTCUSDT,,,76215.00,,,,BLOCKED,BLOCKED,"Failed: RSI oversold"
2026-05-01,06:48:00,DeltaExchange,BTCUSDT,,,77006.25,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,06:48:22,DeltaExchange,BTCUSDT,,,76998.67,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,06:49:06,DeltaExchange,BTCUSDT,,,76993.86,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,06:50:34,DeltaExchange,BTCUSDT,,,76929.13,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected"
2026-05-01,06:50:53,DeltaExchange,BTCUSDT,,,76907.34,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected"
2026-05-01,06:52:24,DeltaExchange,BTCUSDT,,,76936.69,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,08:36:15,DeltaExchange,BTCUSDT,,,77379.44,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,08:36:48,DeltaExchange,BTCUSDT,,,77380.53,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,08:37:13,DeltaExchange,BTCUSDT,,,77389.93,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,09:31:31,DeltaExchange,BTCUSDT,,,77320.91,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,10:31:31,DeltaExchange,BTCUSDT,,,77361.77,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,10:36:11,DeltaExchange,BTCUSDT,,,77313.57,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,11:36:13,DeltaExchange,BTCUSDT,,,77344.79,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,11:55:09,DeltaExchange,BTCUSDT,,,77401.12,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,12:36:10,DeltaExchange,BTCUSDT,BUY,0.000006,78044.64,0.50,0.0005,0.50,PAPER-1777638970803,PAPER,"All conditions met"
2026-05-01,12:55:10,DeltaExchange,BTCUSDT,,,77978.49,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,13:36:12,DeltaExchange,BTCUSDT,,,78463.19,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,13:55:10,DeltaExchange,BTCUSDT,BUY,0.000006,78827.16,0.50,0.0005,0.50,PAPER-1777643710526,PAPER,"All conditions met"
2026-05-01,14:36:12,DeltaExchange,BTCUSDT,BUY,0.000006,78217.82,0.50,0.0005,0.50,PAPER-1777646172998,PAPER,"All conditions met"
2026-05-01,14:55:11,DeltaExchange,BTCUSDT,,,78317.64,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,15:36:19,DeltaExchange,BTCUSDT,,,78545.00,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,15:55:11,DeltaExchange,BTCUSDT,,,78358.01,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,16:36:12,DeltaExchange,BTCUSDT,,,78269.51,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,16:55:12,DeltaExchange,BTCUSDT,,,78320.00,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,17:36:15,DeltaExchange,BTCUSDT,,,78258.49,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,17:55:12,DeltaExchange,BTCUSDT,,,78524.36,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
2026-05-01,18:36:12,DeltaExchange,BTCUSDT,,,78470.01,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; PO3 alignment"
2026-05-01,18:55:13,DeltaExchange,BTCUSDT,,,78439.21,,,,BLOCKED,BLOCKED,"Failed: Liquidity sweep detected; FVG potential; PO3 alignment"
